Aardvark,8,1,1
Antelope,8,2,1
Bass,5,3,4
Bear,7,4,1
Boar,7,2,1
Buffalo,8,2,1
Calf,8,2,1
Carp,6,3,4
Catfish,6,3,4
Cavy,8,2,1
Cheetah,8,1,1
Chicken,9,2,2
Chub,6,3,4
Clam,5,1,7
Crab,5,1,7
Crayfish,6,1,7
Crow,7,2,2
Deer,7,2,1
Dogfish,5,3,4
Dolphin,5,2,1
Dove,9,2,2
Duck,6,2,2
Elephant,8,2,1
Flamingo,8,2,2
Flea,9,1,6
Frog,6,4,5
Fruitbat,7,4,5
Giraffe,8,2,1
Girl,9,2,1
Gnat,8,2,1
Goat,8,2,6
Gorilla,7,2,1
Gull,5,2,1
Haddock,5,2,2
Hamster,9,3,4
Hare,8,1,1
Hawk,8,5,1
Herring,5,1,2
Honeybee,8,3,4
Housefly,9,2,6
Kiwi,7,1,6
Ladybird,8,5,2
Lark,8,1,6
Leopard,8,2,2
Lion,8,1,1
Lobster,5,2,1
Lynx,7,1,7
Mink,8,1,1
Mole,8,1,1
Mongoose,8,1,1
Moth,7,2,1
Newt,6,1,6
Octopus,5,1,5
Opossum,8,1,7
Oryx,7,1,1
Ostrich,8,2,1
Parakeet,9,2,2
Penguin,5,2,2
Pheasant,8,2,2
Pike,6,2,2
Piranha,6,1,4
Pitviper,2,3,4
Platypus,6,1,3
Polecat,7,1,1
Pony,8,5,1
Porpoise,5,2,1
Puma,7,2,1
Pussycat,8,1,1
Raccoon,7,4,1
Reindeer,3,1,1
Rhea,8,2,1
Scorpion,2,2,2
Seahorse,5,1,7
Seal,5,1,4
Sealion,5,2,1
Seasnake,5,2,1
Seawasp,5,1,3
Skimmer,5,1,7
Skua,5,2,2
Slowworm,7,2,2
Slug,7,1,3
Sole,5,1,7
Sparrow,8,1,4
Squirrel,7,2,2
Starfish,5,2,1
Stingray,5,1,7
Swan,8,1,4
Termite,9,2,2
Toad,6,2,6
Tortoise,6,4,5
Tuatara,5,5,3
Tuna,5,1,3
Vampire,9,3,4
Vole,7,1,1
Vulture,7,2,1
Wallaby,8,2,2
Wasp,9,2,1
Wolf,7,2,6
Worm,6,2,1
Wren,8,1,7
