 Animal    , Forest , Desert  , Ocean , Freshwater , Grassland , Tundra , Urban   , Mountain 
aardvark,1,0,0,0,1,0,0,0
antelope,0,0,0,0,1,0,0,0
bass,0,0,1,0,0,0,0,0
bear,1,0,0,0,0,1,0,1
boar,1,0,0,0,0,1,0,1
buffalo,0,0,0,0,1,0,0,0
calf,0,0,0,0,1,0,0,0
carp,0,0,1,1,0,0,0,0
catfish,0,0,1,1,0,0,0,0
cavy,0,0,0,0,1,0,0,0
cheetah,0,0,0,0,0,0,0,0
chicken,0,0,0,0,1,0,1,0
chub,0,0,1,1,0,0,0,0
clam,0,0,1,1,0,0,0,0
crab,0,0,1,1,0,0,0,0
crayfish,0,0,1,1,0,0,0,0
crow,1,0,0,0,0,1,1,0
deer,1,0,0,0,0,1,0,1
dogfish,0,0,1,1,0,0,0,0
dolphin,0,0,1,1,0,0,0,0
dove,0,0,0,0,1,0,1,0
duck,0,0,1,0,1,0,1,0
elephant,1,0,0,0,0,1,0,1
flamingo,0,0,1,0,0,1,1,0
flea,0,0,0,0,1,0,1,0
frog,0,0,0,1,1,0,0,0
frog,0,0,0,1,1,0,0,0
fruitbat,1,0,0,0,1,0,0,0
giraffe,0,0,0,0,1,0,0,0
girl,0,0,0,0,1,0,0,0
gnat,0,0,0,0,1,0,1,0
goat,0,0,0,0,1,0,0,0
gorilla,1,0,0,0,0,1,0,1
gull,0,0,1,0,0,1,1,0
haddock,0,0,1,1,0,0,0,0
hamster,0,0,0,0,0,0,1,0
hare,1,0,0,0,0,1,0,1
hawk,1,0,0,0,0,1,1,1
herring,0,0,1,1,0,0,0,0
honeybee,0,0,0,0,1,0,1,0
housefly,0,0,0,0,1,0,1,0
kiwi,1,0,0,0,1,0,0,0
ladybird,0,0,0,0,1,0,1,0
lark,0,0,0,0,1,0,0,0
leopard,1,1,0,0,0,1,0,1
lion,1,1,0,0,0,1,0,1
lobster,0,0,1,1,0,0,0,0
lynx,1,1,0,0,0,1,0,1
mink,1,1,0,0,0,1,0,1
mole,1,1,0,0,0,1,1,1
