  Animal  , Habitat 
Mongoose,8
Moth,7
Newt,6
Octopus,5
Opossum,8
Oryx,7
Ostrich,8
Parakeet,9
Penguin,5
Pheasant,8
Pike,6
Piranha,6
Pitviper,2
Platypus,6
Polecat,7
Pony,8
Porpoise,5
Puma,7
Pussycat,8
Raccoon,7
Reindeer,3
Rhea,8
Scorpion,2
Seahorse,5
Seal,5
Sealion,5
Seasnake,5
Seawasp,5
Skimmer,5
Skua,5
Slowworm,7
Slug,7
Sole,5
Sparrow,8
Squirrel,7
Starfish,5
Stingray,5
Swan,8
Termite,9
Toad,6
Tortoise,6
Tuatara,5
Tuna,5
Vampire,9
Vole,7
Vulture,7
Wallaby,8
Wasp,9
Wolf,7
Worm,6
Wren,8
